# 游戏内置拼音输入法词典（由 tools/gen_pinyin_dict.py 从 Unicode Unihan 生成）
# 行格式：@<拼音>	<词>  或  $<拼音>	<字…>。拼音小写无声调，ü→v。
$bing	并病兵冰餅饼丙柄㓈並併倂偋冫垪寎幷庰怲抦掤摒昞昺棅氷炳禀秉稟窉竝苪蛃誁邴鈵鉼鋲陃鞆鞞餠㨀䔊䗒䴵仌仒傡栤眪靐鮩𠊧𠒝𠛥𠱛𡇤𡖛𡚛𡲍𡹾𢆩𢊜𢎴𢔧𣦪𣰜𥖬𥲂𦡻𦼹𦿅𨆱𨋲𨹗𩊖𩋒𩏂𩬝𩮟𩶁𪑰𫖓𫚎𬣲𬦴𰽥𰽼𱋔
$bo	玻剝剥播伯博波脖拨撥勃膊薄搏駁驳卜簸舶泊跛㩧㶿㹀㼎䗚䭯亳僠僰哱啵嚗嶓帗帛愽懪挬擘柏檗欂浡渤犦狛猼瓝瓟癶砵碆礡礴秡箔簙糪缽胉菠萡葧蔔蕃蘗袚袯袰袹襏襮譒豰踣蹳郣鈸鉑鉢鋍鎛鑮钵钹铂镈餑餺饽馛馞駮髆鮁鱍鲌鵓鹁𣽡𨍭𨨏𩓐𬭛㗘㝿㞈㟑㩭㪍㬍㬧㴾㼟㼣䂍䃗䊿䌟䍸䑈䙏䝛䞳䟛䢌䢪䥬䪇䪬䬪䭦䮀䯋䰊䳁䵗䶈仢侼孹淿溊煿牔犻癷盋箥紴肑艊苩馎驋髉𠧛𠮭𠱀𠴸𠷺𠸳𠺣𡀖𡅂𡋯𡯳𡯷𢂍𢐾𢠺𢣞𢩞𢫯𢺽𣋵𣛓𣧧𣭷𤃵𤒔𤗳𤗺𤚽𤜧𤶋𤾝𤿑𥜖𥭖𥮯𥴮𥸥𥹸𦃙𦈞𦋉𦤚𦤣𦯉𦰬𦲱𦼭𦽮𧇚𧙄𧟱𧲯𨈩𨏫𨭂𩃶𩄿𩈔𩌏𩍿𩏯𩗀𩗒𩗓𩙦𩜥𩟕𩣡𩧯𩬸𩯌𩱚𩷚𩽛𪌰𪍡𪓜𪙍𪚷𫏆𫗈𬮁𬹇𬺏𮷊𰾀𱃳𱅐𱅓𱇣
$bong	𱿅
$bu	不部步布补補捕怖哺埠㘵㳍佈卜卟吥咘埔埗峬廍抪捗晡歩瓿篰簿蔀誧踄轐逋醭鈈鈽钚钸餔鳪鵏鸔𤣰𬷕㙛㚴㨐㻉㾟䀯䊇䋠䍌䏽䑰䒀䝵䪁䪔䬏䴺勏喸庯悑柨歨荹郶餢鿻𠘁𠚉𠜙𡡐𢁻𢇴𣱶𤚵𤸵𥃨𥑢𥣌𥪀𥳖𥹴𥻞𧉩𧻷𨋞𨛒𨴪𩅇𩊬𩊶𩏮𩏵𩢕𩣝𩯏𩶉𩷖𩺼𩻗𪇰𫐗𫗦𫚨𰵩𱃾𱊲𱋝
$ca	擦嚓囃攃礤礸䃰䌨䵽遪𤄖𥗭𥩝𨆾𨺭𪊗
$cai	才材采菜財财彩猜踩裁偲啋埰婇寀採棌睬綵縩纔蔡跴㒲㥒䌽䐆䞗䟀䠕䣋䰂䴭倸毝𡣮𢎂𤁱𤚀𤝭𤟖𤷕𦬁𧀊𧵤𨙴𨯓𩁞𩧇𪇭𬹅𮉯
$can	参參残殘蚕蠶惨慘餐灿燦惭慚䅟䱗叅喰嬠慙憯摻朁澯璨穇篸粲飡驂骖黪黲㛑㜗㣓㥇㦧㨻㱚㻮㽩㿊䉔䏼䗝䗞䘉䙁䛹䝳䟃䣟䳻傪儏叄湌爘薒蝅蠺謲𠠋𠡡𠫭𡆮𡛝𡞋𢦸𢧮𢾃𣦼𣶡𣻬𤅒𥂥𥠩𥢽𥮾𥹛𦪜𦪫𦺐𧅀𧓩𨅔𨞷𨲱𩀧𩈻𩈼𩝖𩟒𩯞𪆶𪮃𫎺𫢺𬢳𬤄𮬞𰑧
$cang	藏舱艙苍蒼仓倉䅮伧傖嵢欌沧滄濸獊螥鑶鶬鸧㵴㶓䢢仺賶𠥐𡽴𡾻𡿄𤚬𦾝𨤃𩀞𩕹𩝞𪺷𰃷𱮷
$cao	草操槽糙嘈䒑嶆懆曹曺漕肏艚艸艹蓸螬襙鄵騲𥕢㜖㯥䄚䎭䏆䐬䒃愺撡褿鏪𠀊𠹊𡮦𣈅𣉿𤒕𤡐𤵥𥲍𦋿𨎝𩞄𩠎𩫥𮪤
$ce	策测測侧側冊册厕廁厠恻惻憡拺畟笧筴箣簎粣萴蓛𥰡㥽㨲㩍䇲䈟䊂䔴墄敇筞荝萗𡍫𢿸𣌧𥠉𥬰𥳯𦔎𦣧𦵪𧵡𨶨𩒄𫭮𱲆
